lambda_idx,t_1_ms,t_2_ms,t_3_ms
1057,15.433,21.896,26.517
1058,16.353,22.891,27.756
1059,15.990,22.388,27.408
1060,16.070,22.323,27.144
1061,15.791,22.289,27.055
1062,15.876,22.239,27.114
1063,16.124,22.910,27.771
1064,16.154,22.547,27.552
1065,15.612,22.204,27.308
1066,15.582,22.224,26.925
1067,15.607,22.473,27.368
1068,15.657,22.348,27.607
1069,15.493,22.040,26.891
1070,16.149,22.552,27.517
1071,15.348,21.786,26.876
1072,15.592,21.826,26.716
1073,15.945,22.592,27.692
1074,15.537,22.100,26.930
1075,16.025,22.791,27.687
1076,14.826,21.408,26.453
1077,15.254,21.806,26.776
1078,16.100,22.622,27.234
1079,15.408,22.199,26.985
1080,14.836,21.294,26.055
1081,15.652,22.234,26.975
1082,16.015,22.547,27.532
1083,14.990,21.333,26.149
1084,15.488,21.915,26.871
1085,15.532,21.930,26.786
1086,14.726,21.259,26.075
1087,15.512,22.055,26.915
1088,15.333,22.040,27.095
1089,15.358,21.930,27.075
1090,15.438,21.816,26.622
1091,15.249,21.493,26.413
1092,16.065,22.498,27.373
1093,15.856,22.562,27.100
1094,15.761,22.100,26.980
1095,15.473,21.816,26.831
1096,15.806,22.398,27.100
1097,15.701,22.373,27.224
1098,15.030,21.572,26.204
1099,16.692,23.149,27.791
1100,15.443,21.791,26.522
1101,15.393,21.876,26.597
1102,15.667,22.025,27.025
1103,15.776,22.438,27.323
1104,15.398,21.682,26.502
1105,15.866,22.194,27.289
1106,15.552,22.244,27.045
1107,15.687,22.284,26.980
1108,16.015,22.512,27.294
1109,15.706,22.184,27.129
1110,14.443,20.896,25.801
1111,15.861,22.632,27.502
1112,15.672,22.119,26.876
1113,15.567,21.975,26.766
1114,16.478,22.995,27.866
1115,16.209,22.572,27.328
1116,16.224,22.687,27.423
1117,15.264,21.547,26.577
1118,16.682,23.294,28.249
1119,14.965,21.920,26.667
1120,15.303,21.721,26.766
1121,15.766,22.294,27.035
1122,15.189,21.701,26.338
1123,16.010,22.353,27.204
1124,15.274,21.761,26.786
1125,15.453,21.721,26.781
1126,16.114,22.453,27.408
1127,16.025,22.507,27.468
1128,15.796,22.368,27.289
1129,15.483,21.891,26.662
1130,14.522,21.149,25.866
